index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
137,第二篇  呼吸系统疾病,第六章  肺部感染性疾病,第三节  其他病原体所致肺部感染,四、肺真菌病,（三）肺隐球菌病,,肺真菌病的概述,肺隐球菌病的概述,"S
",S,7,book,,,,,,
138,第二篇  呼吸系统疾病,第七章  肺结核,【其他治疗】,,,,肺结核的概述,肺结核的其他治疗方法,"SP
","PO
",7,book,,,,,,
139,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（一）吸烟,,,肺癌的病因和发病机制,肺癌的病因和发病机制：吸烟,"SPO
","PO
",7,book,,,,,,
140,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（二）职业致癌因子,,,肺癌的病因和发病机制,肺癌的病因和发病机制：职业致癌因子,"SPO
","PO
",7,book,,,,,,
141,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（三）空气污染,,,肺癌的病因和发病机制,肺癌的病因和发病机制：空气污染,"SPO
","PO
",7,book,,,,,,
142,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（四）电离辐射,,,肺癌的病因和发病机制,肺癌的病因和发病机制：电离辐射,"SPO
","PO
",7,book,,,,,,
143,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（五）饮食与体力活动,,,肺癌的病因和发病机制,肺癌的病因和发病机制：饮食与体力活动,"SPO
","PO
",7,book,,,,,,
144,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（六）遗传和基因改变,,,肺癌的病因和发病机制,肺癌的病因和发病机制：遗传和基因改变,"SPO
","PO
",7,book,,,,,,
145,第二篇  呼吸系统疾病,第八章  肺癌,【病因和发病机制】,（七）其他因素,,,肺癌的病因和发病机制,肺癌的病因和发病机制：其他因素,"SPO
","PO
",7,book,,,,,,
146,第二篇  呼吸系统疾病,第八章  肺癌,【分类】,（一）按解剖学部位分类,,,肺癌的分类,肺癌的按解剖学部位分类,"SP
","PO
",7,book,,,,,,
147,第二篇  呼吸系统疾病,第八章  肺癌,【分类】,（二）按组织病理学分类,,,肺癌的分类,肺癌的按组织病理学分类,SP,"PO
",7,book,,,,,,
148,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（一）临床表现,,间质性肺疾病的分类,间质性肺疾病的分类诊断：临床表现,"SPO
","PO
",7,book,,,,,,
149,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（二）影像学评价,,间质性肺疾病的分类,间质性肺疾病的分类诊断：影像学评价,"SPO
","PO
",7,book,,,,,,
150,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（三）肺功能,,间质性肺疾病的分类,间质性肺疾病的分类诊断：肺功能,"SPO
","PO
",7,book,,,,,,
151,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（四）实验室检查,,间质性肺疾病的分类,间质性肺疾病的分类诊断：实验室检查,"SPO
","PO
",7,book,,,,,,
152,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（五）支气管镜检查,,间质性肺疾病的分类,间质性肺疾病的分类诊断：支气管镜检查,"SPO
","PO
",7,book,,,,,,
153,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第一节  间质性肺疾病的分类,【诊断】,（六）外科肺活检,,间质性肺疾病的分类,间质性肺疾病的分类诊断：外科肺活检,"SPO
","PO
",7,book,,,,,,
154,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【临床表现】,（一）急性结节病,,结节病的临床表现,急性结节病的临床表现,"SP
","S
",7,book,,,,,,
155,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【临床表现】,（二）亚急性/慢性结节病,,结节病的临床表现,亚急性/慢性结节病的临床表现,"SP
",S,7,book,,,,,,
156,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（三）纤维支气管镜与支气管肺泡灌洗,,结节病的辅助检查,结节病的辅助检查：纤维支气管镜与支气管肺泡灌洗,"SPO
","PO
",7,book,,,,,,
157,第二篇  呼吸系统疾病,第九章  间质性肺疾病,第三节  结节病,【辅助检查】,（五）结核菌素试验,,结节病的辅助检查,结节病的辅助检查：结核菌素试验,"SPO
","PO
",7,book,,,,,,
158,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第二节  特发性肺动脉高压,【治疗】,（二）支持治疗,,特发性肺动脉高压的治疗方法,特发性肺动脉高压的支持治疗,"SP
","PO
",7,book,,,,,,
159,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第二节  特发性肺动脉高压,【治疗】,（三）肺或心肺移植,,特发性肺动脉高压的治疗方法,特发性肺动脉高压的治疗：肺或心肺移植,"SPO
","PO
",7,book,,,,,,
160,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【发病机制和病理生理改变】,（三）其他重要脏器的损害,,慢性肺源性心脏病的发病机制和病理生理改变,慢性肺源性心脏病的发病机制和病理生理改变：其他重要脏器的损害,"SPO
","S
",7,book,,,,,,
161,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【临床表现】,（一）肺、心功能代偿期,,慢性肺源性心脏病的临床表现,肺、心功能代偿期慢性肺源性心脏病的临床表现,"SP
",S,7,book,,,,,,
162,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【临床表现】,（二）肺、心功能失代偿期,,慢性肺源性心脏病的临床表现,肺、心功能失代偿期慢性肺源性心脏病的临床表现,"SP
",S,7,book,,,,,,
163,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【治疗】,（一）肺、心功能代偿期,,慢性肺源性心脏病的治疗方法,肺、心功能代偿期慢性肺源性心脏病的治疗方法,"SP
",S,7,book,,,,,,
164,第二篇  呼吸系统疾病,第十一章  肺动脉高压与肺源性心脏病,第三节  慢性肺源性心脏病,【治疗】,（二）肺、心功能失代偿期,,慢性肺源性心脏病的治疗方法,肺、心功能失代偿期慢性肺源性心脏病的治疗方法,"SP
",S,7,book,,,,,,
165,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（一）诊断性胸腔穿刺和胸腔积液检查,,胸腔积液的实验室和其他检查,胸腔积液的诊断性胸腔穿刺和胸腔积液检查,"SP
","PO
",7,book,,,,,,
166,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（二）X线和核素检查,,胸腔积液的实验室和其他检查,胸腔积液的X线和核素检查,"SP
","PO
",7,book,,,,,,
167,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（三）超声检查,,胸腔积液的实验室和其他检查,胸腔积液的超声检查,"SP
","PO
",7,book,,,,,,
168,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（四）胸膜针刺活检,,胸腔积液的实验室和其他检查,胸腔积液的实验室和其他检查：胸膜针刺活检,"SPO
","PO
",7,book,,,,,,
169,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（五）胸腔镜或开胸活检,,胸腔积液的实验室和其他检查,胸腔积液的实验室和其他检查：胸腔镜或开胸活检,"SPO
","PO
",7,book,,,,,,
170,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第一节  胸腔积液,【实验室和其他检查】,（六）支气管镜,,胸腔积液的实验室和其他检查,胸腔积液的实验室和其他检查：支气管镜,"SPO
","PO
",7,book,,,,,,
171,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第二节  气胸,【治疗】,（一）保守治疗,,气胸的治疗方法,气胸的保守治疗,"SP
","PO
",7,book,,,,,,
172,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第二节  气胸,【治疗】,（二）排气疗法,,气胸的治疗方法,气胸的排气疗法,"SP
","PO
",7,book,,,,,,
173,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第二节  气胸,【治疗】,（四）支气管内封堵术,,气胸的治疗方法,气胸的治疗：支气管内封堵术,"SP
","PO
",7,book,,,,,,
174,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第二节  气胸,【治疗】,（五）手术治疗,,气胸的治疗方法,气胸的手术治疗,"SP
","PO
",7,book,,,,,,
175,第二篇  呼吸系统疾病,第十二章  胸膜疾病,第二节  气胸,【治疗】,（六）并发症及其处理,,气胸的治疗方法,气胸的并发症及其处理,"SP
","PO
",7,book,,,,,,
176,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,【病因】,（一）气道阻塞性病变,,,呼吸衰竭的病因,呼吸衰竭的病因：气道阻塞性病变,"SPO
","PO
",7,book,,,,,,
177,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,【病因】,（二）肺组织病变,,,呼吸衰竭的病因,呼吸衰竭的病因：肺组织病变,"SPO
","PO
",7,book,,,,,,
178,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,【病因】,（三）肺血管疾病,,,呼吸衰竭的病因,呼吸衰竭的病因：肺血管疾病,"SPO
","PO
",7,book,,,,,,
179,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,第三节  呼吸支持技术,[附2]呼吸康复概述,三、呼吸康复的主要内容,（一）病人全面评估,呼吸康复的主要内容,呼吸康复的主要内容：病人全面评估,"SPO
","PO
",7,book,,,,,,
180,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,第三节  呼吸支持技术,[附2]呼吸康复概述,三、呼吸康复的主要内容,（二）运动治疗方法,呼吸康复的主要内容,呼吸康复的主要内容：运动治疗方法,"SPO
","PO
",7,book,,,,,,
181,第二篇  呼吸系统疾病,第十五章  呼吸衰竭与呼吸支持技术,第三节  呼吸支持技术,[附2]呼吸康复概述,三、呼吸康复的主要内容,（三）自我管理策略,呼吸康复的主要内容,呼吸康复的主要内容：自我管理策略,"SPO
","PO
",7,book,,,,,,
182,第三篇  循环系统疾病,第一章  总论,一、心脏的解剖和生理,【心脏的解剖】,（一）心脏结构,,心脏的解剖,心脏的解剖：心脏结构,"SPO
","PO
",7,book,,,,,,
183,第三篇  循环系统疾病,第一章  总论,一、心脏的解剖和生理,【心脏的解剖】,（二）心脏传导系统,,心脏的解剖,心脏的解剖：心脏传导系统,"SPO
","PO
",7,book,,,,,,
184,第三篇  循环系统疾病,第一章  总论,一、心脏的解剖和生理,【心脏的解剖】,（三）冠状动脉,,心脏的解剖,心脏的解剖：冠状动脉,"SPO
","PO
",7,book,,,,,,
185,第三篇  循环系统疾病,第三章  心律失常,第一节  概述,【心律失常的分类】,（一）冲动形成异常,,心律失常的分类,心律失常的分类：冲动形成异常,"SPO
","PO
",7,book,,,,,,
186,第三篇  循环系统疾病,第三章  心律失常,第一节  概述,【心律失常的分类】,（二）冲动传导异常,,心律失常的分类,心律失常的分类：冲动传导异常,"SPO
","PO
",7,book,,,,,,
187,第三篇  循环系统疾病,第三章  心律失常,第一节  概述,【心律失常发生机制】,（一）冲动形成异常,,心律失常发生机制,冲动形成异常的发生机制,SP,"S
",7,book,,,,,,
188,第三篇  循环系统疾病,第三章  心律失常,第一节  概述,【心律失常发生机制】,（二）冲动传导异常,,心律失常发生机制,冲动传导异常的发生机制,SP,"S
",7,book,,,,,,
189,第三篇  循环系统疾病,第三章  心律失常,第三节  房性心律失常,四、心房颤动,【治疗】,（一）抗凝治疗,心房颤动的治疗方法,心房颤动的抗凝治疗,"SP
","PO
",7,book,,,,,,
190,第三篇  循环系统疾病,第三章  心律失常,第三节  房性心律失常,四、心房颤动,【治疗】,（二）转复并维持窦性心律,心房颤动的治疗方法,心房颤动的治疗：转复并维持窦性心律,"SPO
","PO
",7,book,,,,,,
191,第三篇  循环系统疾病,第三章  心律失常,第三节  房性心律失常,四、心房颤动,【治疗】,（三）控制心室率,心房颤动的治疗方法,心房颤动的治疗：控制心室率,"SPO
","PO
",7,book,,,,,,
192,第三篇  循环系统疾病,第三章  心律失常,第四节  房室交界区性心律失常,四、房室交界区相关的折返性心动过速,（一）房室结折返性心动过速,【临床表现】,房室结折返性心动过速,房室结折返性心动过速的临床表现,"SP
","PO
",7,book,,,,,,
193,第三篇  循环系统疾病,第三章  心律失常,第四节  房室交界区性心律失常,四、房室交界区相关的折返性心动过速,（一）房室结折返性心动过速,【心电图特征】,房室结折返性心动过速,房室结折返性心动过速之心电图特征,SP,"PO
",7,book,,,,,,
194,第三篇  循环系统疾病,第三章  心律失常,第四节  房室交界区性心律失常,四、房室交界区相关的折返性心动过速,（一）房室结折返性心动过速,【心电生理检查】,房室结折返性心动过速,房室结折返性心动过速之心电生理检查,SP,"PO
",7,book,,,,,,
195,第三篇  循环系统疾病,第三章  心律失常,第四节  房室交界区性心律失常,四、房室交界区相关的折返性心动过速,（一）房室结折返性心动过速,【治疗】,房室结折返性心动过速,房室结折返性心动过速的治疗,"SP
","PO
",7,book,,,,,,
196,第三篇  循环系统疾病,第三章  心律失常,第五节  室性心律失常,一、室性期前收缩,【治疗】,（一）无器质性心脏病,室性期前收缩的治疗方法,无器质性心脏病室性期前收缩的治疗方法,"SP
","S
",7,book,,,,,,
197,第三篇  循环系统疾病,第三章  心律失常,第五节  室性心律失常,一、室性期前收缩,【治疗】,（二）器质性心脏病,室性期前收缩的治疗方法,器质性心脏病室性期前收缩的治疗,"SP
","S
",7,book,,,,,,
198,第三篇  循环系统疾病,第三章  心律失常,第五节  室性心律失常,一、室性期前收缩,【治疗】,（三）导管消融治疗,室性期前收缩的治疗方法,室性期前收缩的导管消融治疗,"SP
","PO
",7,book,,,,,,
199,第三篇  循环系统疾病,第三章  心律失常,第六节  心脏传导阻滞,一、房室阻滞,【心电图特征】,（一）一度房室阻滞,房室阻滞的心电图特征,房室阻滞的心电图特征：一度房室阻滞,"SPO
","PO
",7,book,,,,,,
200,第三篇  循环系统疾病,第三章  心律失常,第六节  心脏传导阻滞,一、房室阻滞,【心电图特征】,（二）二度房室阻滞,房室阻滞的心电图特征,房室阻滞的心电图特征：二度房室阻滞,"SPO
","PO
",7,book,,,,,,
201,第三篇  循环系统疾病,第三章  心律失常,第六节  心脏传导阻滞,一、房室阻滞,【心电图特征】,（三）三度（完全性）房室阻滞,房室阻滞的心电图特征,房室阻滞的心电图特征：三度（完全性）房室阻滞,"SPO
","PO
",7,book,,,,,,
202,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【临床表现】,（一）先兆,急性ST段抬高型心肌梗死的临床表现,急性ST段抬高型心肌梗死的先兆,"SP
","PO
",7,book,,,,,,
203,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【临床表现】,（二）症状,急性ST段抬高型心肌梗死的临床表现,急性ST段抬高型心肌梗死的症状,"SP
","PO
",7,book,,,,,,
204,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【临床表现】,（三）体征,急性ST段抬高型心肌梗死的临床表现,急性ST段抬高型心肌梗死的体征,"SP
","PO
",7,book,,,,,,
205,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【治疗】,（三）抗血小板治疗,急性ST段抬高型心肌梗死的治疗方法,急性ST段抬高型心肌梗死的抗血小板治疗,SP,"PO
",7,book,,,,,,
206,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【治疗】,（四）抗凝治疗,急性ST段抬高型心肌梗死的治疗方法,急性ST段抬高型心肌梗死的抗凝治疗,SP,"PO
",7,book,,,,,,
207,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【治疗】,（六）血管紧张素转换酶抑制剂或血管紧张素受体拮抗剂,急性ST段抬高型心肌梗死的治疗方法,急性ST段抬高型心肌梗死的治疗：血管紧张素转换酶抑制剂或血管紧张素受体拮抗剂,SPO,"PO
",7,book,,,,,,
208,第三篇  循环系统疾病,第四章  动脉粥样硬化和冠状动脉粥样硬化性心脏病,第四节  急性冠状动脉综合征,二、急性ST段抬高型心肌梗死,【治疗】,（九）抗休克治疗,急性ST段抬高型心肌梗死的治疗方法,急性ST段抬高型心肌梗死的抗休克治疗,SP,"PO
",7,book,,,,,,
209,第四篇  消化系统疾病,第五章  消化性溃疡,【并发症】,（三）幽门梗阻,,,消化性溃疡的并发症,消化性溃疡的并发症：幽门梗阻,"SPO
","PO
",7,book,,,,,,
210,第四篇  消化系统疾病,第五章  消化性溃疡,【并发症】,（四）癌变,,,消化性溃疡的并发症,消化性溃疡的并发症：癌变,"SPO
","PO
",7,book,,,,,,
211,第四篇  消化系统疾病,第二十二章  腹痛,【临床表现】,（四）发作时间,,,腹痛的临床表现,腹痛的临床表现：发作时间,SP,"PO
",7,book,,,,,,
212,第五篇  泌尿系统疾病,第十一章  肾脏替代治疗,【肾移植】,,,,肾脏替代治疗,肾脏替代治疗：肾移植,"SPO
","PO
",7,book,,,,,,
213,第六篇  血液系统疾病,第六章  溶血性贫血,第一节  概述,【发病机制】,（一）红细胞破坏增加,,溶血性贫血的发病机制,溶血性贫血的发病机制：红细胞破坏增加,"SPO
","PO
",7,book,,,,,,
214,第六篇  血液系统疾病,第六章  溶血性贫血,第一节  概述,【发病机制】,（二）红系代偿性增生,,溶血性贫血的发病机制,溶血性贫血的发病机制：红系代偿性增生,"SPO
","PO
",7,book,,,,,,
215,第六篇  血液系统疾病,第六章  溶血性贫血,第五节  自身免疫性溶血性贫血,一、温抗体型AIHA,【治疗】,（一）病因治疗,温抗体型AIHA的治疗,温抗体型AIHA的病因治疗,SP,"PO
",7,book,,,,,,
216,第六篇  血液系统疾病,第六章  溶血性贫血,第五节  自身免疫性溶血性贫血,一、温抗体型AIHA,【治疗】,（二）控制溶血发作,温抗体型AIHA的治疗,温抗体型AIHA的治疗：控制溶血发作,"SPO
","PO
",7,book,,,,,,
217,第六篇  血液系统疾病,第六章  溶血性贫血,第五节  自身免疫性溶血性贫血,一、温抗体型AIHA,【治疗】,（三）输血,温抗体型AIHA的治疗,温抗体型AIHA的治疗：输血,"SPO
","PO
",7,book,,,,,,
218,第六篇  血液系统疾病,第十七章  弥漫性血管内凝血,【病因】,（二）恶性肿瘤,,,弥漫性血管内凝血的病因,弥漫性血管内凝血的病因：恶性肿瘤,"SPO
","PO
",7,book,,,,,,
219,第七篇  内分泌和代谢性疾病,第四章  肢端肥大症和巨人症,【临床表现】,（二）GH瘤压迫表现,,,肢端肥大症和巨人症的临床表现,肢端肥大症和巨人症的临床表现：GH瘤压迫表现,"SPO
","PO
",7,book,,,,,,
220,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【临床表现】,,,非毒性多结节性甲状腺肿的概述,非毒性多结节性甲状腺肿的临床表现,"SP
","PO
",7,book,,,,,,
221,第七篇  内分泌和代谢性疾病,第九章  非毒性甲状腺肿,第二节  非毒性多结节性甲状腺肿,【治疗】,,,非毒性多结节性甲状腺肿的概述,非毒性多结节性甲状腺肿的治疗方法,"SP
","PO
",7,book,,,,,,
222,第七篇  内分泌和代谢性疾病,第十五章  原发性醛固酮增多症,【鉴别诊断】,（一）非醛固酮所致盐皮质激素过多综合征,,,原发性醛固酮增多症的鉴别诊断,非醛固酮所致盐皮质激素过多综合征的鉴别诊断,SP,"S
",7,book,,,,,,
223,第七篇  内分泌和代谢性疾病,第二十二章  糖尿病,第一节  糖尿病,【并发症】,（一）急性严重代谢紊乱,,糖尿病的并发症,糖尿病的并发症：急性严重代谢紊乱,"SPO
","PO
",7,book,,,,,,
224,第七篇  内分泌和代谢性疾病,第二十二章  糖尿病,第一节  糖尿病,【并发症】,（三）慢性并发症,,糖尿病的并发症,糖尿病的并发症：慢性并发症,"SPO
","PO
",7,book,,,,,,
225,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【病因】,（一）高渗性失水,失水的病因,高渗性失水的病因,"SP
",S,7,book,,,,,,
226,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【病因】,（二）等渗性失水,失水的病因,等渗性失水的病因,"SP
",S,7,book,,,,,,
227,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【病因】,（三）低渗性失水,失水的病因,低渗性失水的病因,"SP
",S,7,book,,,,,,
228,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【防治】,（一）补液总量,失水的防治,失水的防治：补液总量,"SPO
","PO
",7,book,,,,,,
229,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【防治】,（二）补液种类,失水的防治,失水的防治：补液种类,"SPO
","PO
",7,book,,,,,,
230,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第一节  水、钠代谢失常,一、失水,【防治】,（三）补液方法,失水的防治,失水的防治：补液方法,"SPO
","PO
",7,book,,,,,,
231,第七篇  内分泌和代谢性疾病,第二十六章  水、电解质代谢和酸碱平衡失常,第三节  酸碱平衡失常,二、代谢性碱中毒,【病因和发病机制】,（一）近端肾小管碳酸氢盐最大吸收阈增大,酸碱平衡失常的病因和发病机制,酸碱平衡失常的病因和发病机制：近端肾小管碳酸氢盐最大吸收阈增大,"SPO
","PO
",7,book,,,,,,
232,第七篇  内分泌和代谢性疾病,第二十九章  性发育异常疾病,第一节  染色体性别异常疾病,一、Klinefelter综合征,,,染色体性别异常疾病的概述,Klinefelter综合征的概述,"S
",S,7,book,,,,,,
233,第七篇  内分泌和代谢性疾病,第二十九章  性发育异常疾病,第一节  染色体性别异常疾病,二、Turner综合征,,,染色体性别异常疾病的概述,Turner综合征的概述,"S
",S,7,book,,,,,,
234,第七篇  内分泌和代谢性疾病,第二十九章  性发育异常疾病,第一节  染色体性别异常疾病,三、XX男性综合征,,,染色体性别异常疾病的概述,XX男性综合征的概述,"S
",S,7,book,,,,,,
235,第八篇  风湿性疾病,第五章  系统性红斑狼疮,【发病机制及免疫异常】,,,,系统性红斑狼疮的概述,系统性红斑狼疮的发病机制及免疫异常,SP,"PO
",7,book,,,,,,
236,第八篇  风湿性疾病,第七章  脊柱关节炎,第一节  强直性脊柱炎,【病因和发病机制】,,,强直性脊柱炎的概述,强直性脊柱炎的病因和发病机制,"SP
","PO
",7,book,,,,,,
237,第八篇  风湿性疾病,第七章  脊柱关节炎,第一节  强直性脊柱炎,【临床表现】,,,强直性脊柱炎的概述,强直性脊柱炎的临床表现,"SP
","PO
",7,book,,,,,,
238,第八篇  风湿性疾病,第九章  原发性血管炎,第三节  巨细胞动脉炎,【病因和发病机制】,,,巨细胞动脉炎的概述,巨细胞动脉炎的病因和发病机制,"SP
","PO
",7,book,,,,,,
239,第八篇  风湿性疾病,第九章  原发性血管炎,第三节  巨细胞动脉炎,【临床表现】,,,巨细胞动脉炎的概述,巨细胞动脉炎的临床表现,"SP
","PO
",7,book,,,,,,
240,第八篇  风湿性疾病,第九章  原发性血管炎,第四节  结节性多动脉炎,【临床表现】,（一）系统性PAN,,结节性多动脉炎的临床表现,系统性PAN的临床表现,"SP
","S
",7,book,,,,,,
241,第八篇  风湿性疾病,第九章  原发性血管炎,第四节  结节性多动脉炎,【临床表现】,（二）皮肤型PAN,,结节性多动脉炎的临床表现,皮肤型PAN的临床表现,"SP
","S
",7,book,,,,,,
242,第九篇  理化因素所致疾病,第二章  中毒,第三节  急性毒品中毒,【毒品分类】,（一）麻醉（镇痛）药,,急性毒品分类,急性毒品分类：麻醉（镇痛）药,"SPO
","PO
",7,book,,,,,,
243,第九篇  理化因素所致疾病,第二章  中毒,第三节  急性毒品中毒,【毒品分类】,（二）精神药,,急性毒品分类,急性毒品分类：精神药,"SPO
","PO
",7,book,,,,,,
244,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【病因】,（三）非巴比妥非苯二氮䓬类（中效至短效）,,镇静催眠药中毒的病因,非巴比妥非苯二氮䓬类（中效至短效）中毒的病因,SP,"S
",7,book,,,,,,
245,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【病因】,（四）吩噻嗪类（抗精神病药）,,镇静催眠药中毒的病因,吩噻嗪类（抗精神病药）中毒的病因,SP,"S
",7,book,,,,,,
246,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【发病机制】,（二）中毒机制,,镇静催眠药中毒的发病机制,镇静催眠药中毒的发病机制,SP,"PO
",7,book,,,,,,
247,第九篇  理化因素所致疾病,第二章  中毒,第五节  镇静催眠药中毒,【治疗】,（三）戒断综合征,,镇静催眠药中毒的治疗方法,镇静催眠药中毒的治疗：戒断综合征,"SPO
","PO
",7,book,,,,,,
248,第九篇  理化因素所致疾病,第二章  中毒,第六节  急性一氧化碳中毒,【治疗】,（一）终止CO吸入,,急性一氧化碳中毒的治疗方法,急性一氧化碳中毒的治疗：终止CO吸入,"SPO
","PO
",7,book,,,,,,
249,第九篇  理化因素所致疾病,第二章  中毒,第九节  毒蛇咬伤中毒,【发病机制】,（二）毒液对伤口局部作用,,毒蛇咬伤中毒的发病机制,毒蛇咬伤中毒的发病机制：毒液对伤口局部作用,"SPO
","PO
",7,book,,,,,,
250,第九篇  理化因素所致疾病,第三章  中暑,【发病机制】,（二）高温环境对人体各系统的影响,,,中暑的发病机制,中暑的发病机制：高温环境对人体各系统的影响,"SPO
","PO
",7,book,,,,,,
251,第九篇  理化因素所致疾病,第五章  高原病,【治疗】,（四）慢性高原病,,,高原病的治疗,慢性高原病的治疗,SP,"S
",7,book,,,,,,
252,第九篇  理化因素所致疾病,第六章  淹溺,【病因和发病机制】,（一）病因,,,淹溺的病因和发病机制,淹溺的病因,SP,"PO
",7,book,,,,,,
253,第九篇  理化因素所致疾病,第七章  电击,,,,,电击的概述,电击的概述,"S
","S
",7,book,,,,,,
254,第九篇  理化因素所致疾病,第七章  电击,【预防】,,,,电击的概述,电击的预防,SP,"PO
",7,book,,,,,,
